id,exp_session,test_type,result,added_at,session_id,participant_id,video,group,pretest_1,pretest_2,pretest_3,pretest_4,pretest_5,pretest_6,pretest_7,pretest_8,pretest_9,pretest_10,pretest_11,pretest_12,pretest_13,pretest_14,pretest_15,pretest_16,pretest_17,pretest_18,pretest_19,pretest_20,pretest_21
57,2015-06-19 19:16:48+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M07,pretest,"{""pretest_1"":""4"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""7.0"",""pretest_6"":""5"",""pretest_7"":""2.7"",""pretest_8"":""2"",""pretest_9"":""standard deviation squared"",""pretest_10"":""2"",""pretest_11"":""unitless"",""pretest_12"":""4"",""pretest_13"":""It is the average distance of difference between a typical individual and the mean"",""pretest_14"":""3"",""pretest_15"":""variance is standard deviation squared"",""pretest_16"":""5""}",2015-06-19 19:20:29+00:00,11597,M07,43,1,4,,4,4,7.0,5,2.7,2,standard deviation squared,2,unitless,4,It is the average distance of difference between a typical individual and the mean,3,variance is standard deviation squared,5,,,,,
59,2015-06-19 19:26:35+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M06,pretest,"{""pretest_1"":""1"",""pretest_2"":""1"",""pretest_3"":""1"",""pretest_4"":""1"",""pretest_5"":""7"",""pretest_6"":""3"",""pretest_7"":""7"",""pretest_8"":""1"",""pretest_9"":""2"",""pretest_10"":""1"",""pretest_11"":""2"",""pretest_12"":""1"",""pretest_13"":""I do not know."",""pretest_14"":""1"",""pretest_15"":""I do not know"",""pretest_16"":""1""}",2015-06-19 19:28:29+00:00,11601,M06,43,1,1,1,1,1,7,3,7,1,2,1,2,1,I do not know.,1,I do not know,1,,,,,
62,2015-06-19 19:32:33+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M02,pretest,"{""pretest_1"":""2"",""pretest_2"":""2"",""pretest_3"":""2"",""pretest_4"":""4"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""don't know"",""pretest_8"":""1"",""pretest_9"":""don't know"",""pretest_10"":""1"",""pretest_11"":""don't know"",""pretest_12"":""1"",""pretest_13"":""don't know"",""pretest_14"":""1"",""pretest_15"":""don't know"",""pretest_16"":""1""}",2015-06-19 19:39:19+00:00,11602,M02,43,1,2,2,2,4,7,5,don't know,1,don't know,1,don't know,1,don't know,1,don't know,1,,,,,
66,2015-06-19 19:46:48+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M08,pretest,"{""pretest_1"":""3"",""pretest_2"":""3"",""pretest_3"":""2"",""pretest_4"":""3"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""2"",""pretest_8"":""1"",""pretest_9"":""tenths"",""pretest_10"":""1"",""pretest_11"":""tenths"",""pretest_12"":""1"",""pretest_13"":""A way to define the amount of deviation in a group of variables."",""pretest_14"":""2"",""pretest_15"":""Variance is required to find standard deviation"",""pretest_16"":""2""}",2015-06-19 19:49:51+00:00,11614,M08,43,1,3,3,2,3,7,5,2,1,tenths,1,tenths,1,A way to define the amount of deviation in a group of variables.,2,Variance is required to find standard deviation,2,,,,,
75,2015-06-19 19:53:12+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M04,pretest,"{""pretest_1"":""2"",""pretest_2"":""3"",""pretest_3"":""2"",""pretest_4"":""2"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""2"",""pretest_8"":""1"",""pretest_9"":""1"",""pretest_10"":""1"",""pretest_11"":""5"",""pretest_12"":""1"",""pretest_13"":""It might mean that the numbers could be off by a certain amount."",""pretest_14"":""1"",""pretest_15"":""one is varied and one is deviated"",""pretest_16"":""1""}",2015-06-19 19:55:46+00:00,11617,M04,43,1,2,3,2,2,7,5,2,1,1,1,5,1,It might mean that the numbers could be off by a certain amount.,1,one is varied and one is deviated,1,,,,,
76,2015-06-19 19:58:31+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M03,pretest,"{""pretest_1"":""2"",""pretest_2"":""2"",""pretest_3"":""2"",""pretest_4"":""2"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""3"",""pretest_8"":""1"",""pretest_9"":""3"",""pretest_10"":""1"",""pretest_11"":""3"",""pretest_12"":""1"",""pretest_13"":""no clue"",""pretest_14"":""1"",""pretest_15"":""no idea"",""pretest_16"":""1""}",2015-06-19 20:00:11+00:00,11621,M03,43,1,2,2,2,2,7,5,3,1,3,1,3,1,no clue,1,no idea,1,,,,,
82,2015-06-19 20:15:24+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M09,pretest,"{""pretest_1"":""3"",""pretest_2"":""3"",""pretest_3"":""3"",""pretest_4"":""3"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""5"",""pretest_8"":""1"",""pretest_9"":""year"",""pretest_10"":""1"",""pretest_11"":""year"",""pretest_12"":""1"",""pretest_13"":""the measure of the differences in amounts in population."",""pretest_14"":""2"",""pretest_15"":""The standard deviation can be found using the variance"",""pretest_16"":""2""}",2015-06-19 20:19:04+00:00,11622,M09,43,1,3,3,3,3,7,5,5,1,year,1,year,1,the measure of the differences in amounts in population.,2,The standard deviation can be found using the variance,2,,,,,
101,2015-06-19 20:35:54+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M10,pretest,"{""pretest_1"":""3"",""pretest_2"":""4"",""pretest_3"":""3"",""pretest_4"":""4"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""?"",""pretest_8"":""1"",""pretest_9"":""years"",""pretest_10"":""3"",""pretest_11"":""years"",""pretest_12"":""2"",""pretest_13"":""not sure"",""pretest_14"":""1"",""pretest_15"":""not sure"",""pretest_16"":""1""}",2015-06-19 20:37:26+00:00,11625,M10,43,1,3,4,3,4,7,5,?,1,years,3,years,2,not sure,1,not sure,1,,,,,
103,2015-06-19 21:04:49+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M05,pretest,"{""pretest_1"":""3"",""pretest_2"":""3"",""pretest_3"":""3"",""pretest_4"":""3"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""3.50"",""pretest_8"":""4"",""pretest_9"":""years"",""pretest_10"":""5"",""pretest_11"":""years"",""pretest_12"":""5"",""pretest_13"":""measures the variability of data in a population"",""pretest_14"":""4"",""pretest_15"":""variance = square of standard deviation"",""pretest_16"":""4""}",2015-06-19 21:14:14+00:00,11627,M05,43,1,3,3,3,3,7,5,3.50,4,years,5,years,5,measures the variability of data in a population,4,variance = square of standard deviation,4,,,,,
106,2015-06-19 21:46:50+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M01,pretest,"{""pretest_1"":""1"",""pretest_2"":""3"",""pretest_3"":""3"",""pretest_4"":""3"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""don't know"",""pretest_8"":""1"",""pretest_9"":""don't know"",""pretest_10"":""1"",""pretest_11"":""don't know"",""pretest_12"":""1"",""pretest_13"":""don't know"",""pretest_14"":""1"",""pretest_15"":""don't know"",""pretest_16"":""1""}",2015-06-19 21:48:40+00:00,11640,M01,43,1,1,3,3,3,7,5,don't know,1,don't know,1,don't know,1,don't know,1,don't know,1,,,,,
118,2015-06-20 03:05:04+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M17,pretest,"{""pretest_1"":""36"",""pretest_2"":""Male"",""pretest_3"":""2"",""pretest_4"":""2"",""pretest_5"":""2"",""pretest_6"":""3"",""pretest_7"":""2"",""pretest_8"":""3"",""pretest_9"":""2"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""?"",""pretest_13"":""1"",""pretest_14"":""?"",""pretest_15"":""1"",""pretest_16"":""?"",""pretest_17"":""1"",""pretest_18"":""?"",""pretest_19"":""1"",""pretest_20"":""?"",""pretest_21"":""1""}",2015-06-20 03:07:06+00:00,11732,M17,43,2,36,Male,2,2,2,3,2,3,2,7,5,?,1,?,1,?,1,?,1,?,1
119,2015-06-20 03:03:54+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=3 | participant_id=M26,pretest,"{""pretest_1"":""45"",""pretest_2"":""Female"",""pretest_3"":""3"",""pretest_4"":""3"",""pretest_5"":""2"",""pretest_6"":""4"",""pretest_7"":""3"",""pretest_8"":""4"",""pretest_9"":""1"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""5"",""pretest_13"":""1"",""pretest_14"":""4"",""pretest_15"":""1"",""pretest_16"":""5"",""pretest_17"":""1"",""pretest_18"":""I'm not sure"",""pretest_19"":""5"",""pretest_20"":""you use square root of the variance to get the standard eviation"",""pretest_21"":""4""}",2015-06-20 03:07:45+00:00,11730,M26,43,3,45,Female,3,3,2,4,3,4,1,7,5,5,1,4,1,5,1,I'm not sure,5,you use square root of the variance to get the standard eviation,4
121,2015-06-20 03:07:29+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M12,pretest,"{""pretest_1"":""22"",""pretest_2"":""Male"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""3"",""pretest_6"":""4"",""pretest_7"":""3"",""pretest_8"":""3"",""pretest_9"":""3"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""idk"",""pretest_13"":""2"",""pretest_14"":""idk"",""pretest_15"":""2"",""pretest_16"":""idk"",""pretest_17"":""2"",""pretest_18"":""idk"",""pretest_19"":""2"",""pretest_20"":""idk"",""pretest_21"":""2""}",2015-06-20 03:09:53+00:00,11738,M12,43,2,22,Male,4,4,3,4,3,3,3,7,5,idk,2,idk,2,idk,2,idk,2,idk,2
122,2015-06-20 03:06:23+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=3 | participant_id=M21,pretest,"{""pretest_1"":""50"",""pretest_2"":""Male"",""pretest_3"":""3"",""pretest_4"":""4"",""pretest_5"":""3"",""pretest_6"":""3"",""pretest_7"":""4"",""pretest_8"":""2"",""pretest_9"":""2"",""pretest_10"":""6"",""pretest_11"":""5"",""pretest_12"":""6"",""pretest_13"":""1"",""pretest_14"":""2"",""pretest_15"":""1"",""pretest_16"":""2"",""pretest_17"":""1"",""pretest_18"":""not sure what that is"",""pretest_19"":""1"",""pretest_20"":""not sure"",""pretest_21"":""1""}",2015-06-20 03:10:14+00:00,11735,M21,43,3,50,Male,3,4,3,3,4,2,2,6,5,6,1,2,1,2,1,not sure what that is,1,not sure,1
124,2015-06-20 03:13:08+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M18,pretest,"{""pretest_1"":""36"",""pretest_2"":""Female"",""pretest_3"":""2"",""pretest_4"":""2"",""pretest_5"":""2"",""pretest_6"":""3"",""pretest_7"":""3"",""pretest_8"":""5"",""pretest_9"":""4"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""+/-5"",""pretest_13"":""1"",""pretest_14"":""9"",""pretest_15"":""1"",""pretest_16"":""5"",""pretest_17"":""1"",""pretest_18"":""how much a number deviates from the mean"",""pretest_19"":""3"",""pretest_20"":""they are part of the same equation"",""pretest_21"":""1""}",2015-06-20 03:15:38+00:00,11740,M18,43,2,36,Female,2,2,2,3,3,5,4,7,5,+/-5,1,9,1,5,1,how much a number deviates from the mean,3,they are part of the same equation,1
125,2015-06-20 03:07:21+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M11,pretest,"{""pretest_1"":""31"",""pretest_2"":""Male"",""pretest_3"":""3"",""pretest_4"":""3"",""pretest_5"":""2"",""pretest_6"":""4"",""pretest_7"":""2"",""pretest_8"":""3"",""pretest_9"":""4"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""3.5"",""pretest_13"":""2"",""pretest_14"":""12"",""pretest_15"":""2"",""pretest_16"":""12"",""pretest_17"":""1"",""pretest_18"":""it is the square root of the unit of variance?"",""pretest_19"":""3"",""pretest_20"":""variance is difference between the mean and each individual unit"",""pretest_21"":""2""}",2015-06-20 03:17:59+00:00,11737,M11,43,2,31,Male,3,3,2,4,2,3,4,7,5,3.5,2,12,2,12,1,it is the square root of the unit of variance?,3,variance is difference between the mean and each individual unit,2
126,2015-06-20 03:08:20+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=3 | participant_id=M22,pretest,"{""pretest_1"":""35"",""pretest_2"":""Male"",""pretest_3"":""2"",""pretest_4"":""2"",""pretest_5"":""2"",""pretest_6"":""2"",""pretest_7"":""2"",""pretest_8"":""4"",""pretest_9"":""2"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""3.5"",""pretest_13"":""4"",""pretest_14"":""Don't know"",""pretest_15"":""1"",""pretest_16"":""age "",""pretest_17"":""3"",""pretest_18"":""The amount a population differs from the mean"",""pretest_19"":""3"",""pretest_20"":""standard deviation is the square root of the variance"",""pretest_21"":""5""}",2015-06-20 03:20:20+00:00,11739,M22,43,3,35,Male,2,2,2,2,2,4,2,7,5,3.5,4,Don't know,1,age ,3,The amount a population differs from the mean,3,standard deviation is the square root of the variance,5
128,2015-06-20 03:22:06+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M16,pretest,"{""pretest_1"":""33"",""pretest_2"":""Female"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""4"",""pretest_6"":""3"",""pretest_7"":""3"",""pretest_8"":""2"",""pretest_9"":""2"",""pretest_10"":""7"",""pretest_11"":""4"",""pretest_12"":""10"",""pretest_13"":""2"",""pretest_14"":""6"",""pretest_15"":""4"",""pretest_16"":""6"",""pretest_17"":""2"",""pretest_18"":""6"",""pretest_19"":""2"",""pretest_20"":""not sure"",""pretest_21"":""2""}",2015-06-20 03:24:37+00:00,11742,M16,43,2,33,Female,4,4,4,3,3,2,2,7,4,10,2,6,4,6,2,6,2,not sure,2
172,2015-06-20 03:49:38+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M19,pretest,"{""pretest_1"":""33"",""pretest_2"":""Female"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""4"",""pretest_6"":""5"",""pretest_7"":""3"",""pretest_8"":""4"",""pretest_9"":""3"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""7"",""pretest_13"":""1"",""pretest_14"":""7"",""pretest_15"":""1"",""pretest_16"":""3"",""pretest_17"":""1"",""pretest_18"":""How far things are from the mean"",""pretest_19"":""2"",""pretest_20"":""not sure"",""pretest_21"":""1""}",2015-06-20 03:51:27+00:00,11762,M19,43,2,33,Female,4,4,4,5,3,4,3,7,5,7,1,7,1,3,1,How far things are from the mean,2,not sure,1
174,2015-06-20 03:24:37+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M14,pretest,"{""pretest_1"":""43"",""pretest_2"":""Female"",""pretest_3"":""3"",""pretest_4"":""3"",""pretest_5"":""3"",""pretest_6"":""3"",""pretest_7"":""3"",""pretest_8"":""4"",""pretest_9"":""2"",""pretest_10"":""5.33"",""pretest_11"":""5"",""pretest_12"":""3.84"",""pretest_13"":""3"",""pretest_14"":""years squared"",""pretest_15"":""4"",""pretest_16"":""years"",""pretest_17"":""5"",""pretest_18"":""Population standard deviation is the dispersion of data across the sample population."",""pretest_19"":""4"",""pretest_20"":""Variance = s square"",""pretest_21"":""5""}",2015-06-20 03:56:33+00:00,11744,M14,43,2,43,Female,3,3,3,3,3,4,2,5.33,5,3.84,3,years squared,4,years,5,Population standard deviation is the dispersion of data across the sample population.,4,Variance = s square,5
175,2015-06-20 04:01:05+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=3 | participant_id=M25,pretest,"{""pretest_1"":""42"",""pretest_2"":""Female"",""pretest_3"":""2"",""pretest_4"":""2"",""pretest_5"":""2"",""pretest_6"":""3"",""pretest_7"":""2"",""pretest_8"":""4"",""pretest_9"":""3"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""2"",""pretest_13"":""1"",""pretest_14"":""6"",""pretest_15"":""1"",""pretest_16"":""9"",""pretest_17"":""1"",""pretest_18"":""average difference in population over time"",""pretest_19"":""1"",""pretest_20"":""both deal with volatility"",""pretest_21"":""2""}",2015-06-20 04:03:40+00:00,11765,M25,43,3,42,Female,2,2,2,3,2,4,3,7,5,2,1,6,1,9,1,average difference in population over time,1,both deal with volatility,2
177,2015-06-20 04:04:15+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M13,pretest,"{""pretest_1"":""35"",""pretest_2"":""Male"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""4"",""pretest_6"":""4"",""pretest_7"":""3"",""pretest_8"":""5"",""pretest_9"":""2"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""14.17"",""pretest_13"":""2"",""pretest_14"":""7"",""pretest_15"":""1"",""pretest_16"":""9.22"",""pretest_17"":""2"",""pretest_18"":""It's a method to identify what's average or normal and what's not in a population"",""pretest_19"":""1"",""pretest_20"":""Standard deviation is the square root of variance"",""pretest_21"":""2""}",2015-06-20 04:12:52+00:00,11767,M13,43,2,35,Male,4,4,4,4,3,5,2,7,5,14.17,2,7,1,9.22,2,It's a method to identify what's average or normal and what's not in a population,1,Standard deviation is the square root of variance,2
183,2015-06-20 04:55:16+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=3 | participant_id=M27,pretest,"{""pretest_1"":""25"",""pretest_2"":""Female"",""pretest_3"":""1"",""pretest_4"":""1"",""pretest_5"":""1"",""pretest_6"":""3"",""pretest_7"":""1"",""pretest_8"":""1"",""pretest_9"":""1"",""pretest_10"":""7"",""pretest_11"":""4"",""pretest_12"":""4"",""pretest_13"":""4"",""pretest_14"":""15"",""pretest_15"":""4"",""pretest_16"":""6"",""pretest_17"":""2"",""pretest_18"":""The population standard deviation measures the variable data of the population collected."",""pretest_19"":""4"",""pretest_20"":""You get the standard from the variance, its the square root."",""pretest_21"":""5""}",2015-06-20 05:06:22+00:00,11774,M27,43,3,25,Female,1,1,1,3,1,1,1,7,4,4,4,15,4,6,2,The population standard deviation measures the variable data of the population collected.,4,"You get the standard from the variance, its the square root.",5
188,2015-06-20 05:58:11+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=3 | participant_id=M23,pretest,"{""pretest_1"":""30"",""pretest_2"":""Male"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""4"",""pretest_6"":""5"",""pretest_7"":""4"",""pretest_8"":""5"",""pretest_9"":""4"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""3.9"",""pretest_13"":""4"",""pretest_14"":""years squared"",""pretest_15"":""2"",""pretest_16"":""years"",""pretest_17"":""4"",""pretest_18"":""SD is the square root of the variance, or essentially the average variability in the data set."",""pretest_19"":""2"",""pretest_20"":""SD is the square root of the variance"",""pretest_21"":""4""}",2015-06-20 06:06:44+00:00,11779,M23,43,3,30,Male,4,4,4,5,4,5,4,7,5,3.9,4,years squared,2,years,4,"SD is the square root of the variance, or essentially the average variability in the data set.",2,SD is the square root of the variance,4
190,2015-06-20 06:20:59+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=3 | participant_id=M29,pretest,"{""pretest_1"":""43"",""pretest_2"":""Female"",""pretest_3"":""3"",""pretest_4"":""3"",""pretest_5"":""2"",""pretest_6"":""3"",""pretest_7"":""2"",""pretest_8"":""2"",""pretest_9"":""3"",""pretest_10"":""8"",""pretest_11"":""2"",""pretest_12"":""2"",""pretest_13"":""1"",""pretest_14"":""9"",""pretest_15"":""1"",""pretest_16"":""2"",""pretest_17"":""1"",""pretest_18"":""Standard deviation in a population."",""pretest_19"":""2"",""pretest_20"":""Variance numbers vary more."",""pretest_21"":""1""}",2015-06-20 06:26:13+00:00,11784,M29,43,3,43,Female,3,3,2,3,2,2,3,8,2,2,1,9,1,2,1,Standard deviation in a population.,2,Variance numbers vary more.,1
195,2015-06-20 06:52:17+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=3 | participant_id=M24,pretest,"{""pretest_1"":""28"",""pretest_2"":""Female"",""pretest_3"":""5"",""pretest_4"":""5"",""pretest_5"":""5"",""pretest_6"":""5"",""pretest_7"":""5"",""pretest_8"":""5"",""pretest_9"":""5"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""3.5"",""pretest_13"":""5"",""pretest_14"":""integer"",""pretest_15"":""5"",""pretest_16"":""decimal"",""pretest_17"":""5"",""pretest_18"":""population standard deviation is nothing but the square root of the variance"",""pretest_19"":""5"",""pretest_20"":""square root of variance is the standard deviation"",""pretest_21"":""5""}",2015-06-20 07:15:14+00:00,11789,M24,43,3,28,Female,5,5,5,5,5,5,5,7,5,3.5,5,integer,5,decimal,5,population standard deviation is nothing but the square root of the variance,5,square root of variance is the standard deviation,5
203,2015-06-20 08:25:15+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=3 | participant_id=M30,pretest,"{""pretest_1"":""31"",""pretest_2"":""Female"",""pretest_3"":""2"",""pretest_4"":""4"",""pretest_5"":""2"",""pretest_6"":""4"",""pretest_7"":""2"",""pretest_8"":""5"",""pretest_9"":""3"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""3"",""pretest_13"":""1"",""pretest_14"":""age"",""pretest_15"":""1"",""pretest_16"":""no idea"",""pretest_17"":""1"",""pretest_18"":""how far the range goes from the average"",""pretest_19"":""1"",""pretest_20"":""how far the numbers vary and the average of the variance from the average"",""pretest_21"":""1""}",2015-06-20 08:29:20+00:00,11798,M30,43,3,31,Female,2,4,2,4,2,5,3,7,5,3,1,age,1,no idea,1,how far the range goes from the average,1,how far the numbers vary and the average of the variance from the average,1
205,2015-06-20 09:04:27+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=3 | participant_id=M28,pretest,"{""pretest_1"":""44"",""pretest_2"":""Male"",""pretest_3"":""3"",""pretest_4"":""3"",""pretest_5"":""3"",""pretest_6"":""2"",""pretest_7"":""3"",""pretest_8"":""5"",""pretest_9"":""3"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""3"",""pretest_13"":""1"",""pretest_14"":""1"",""pretest_15"":""1"",""pretest_16"":""3"",""pretest_17"":""1"",""pretest_18"":""How much difference there is between the various categories."",""pretest_19"":""1"",""pretest_20"":""Variance is greater than standard deviation."",""pretest_21"":""1""}",2015-06-20 09:06:23+00:00,11801,M28,43,3,44,Male,3,3,3,2,3,5,3,7,5,3,1,1,1,3,1,How much difference there is between the various categories.,1,Variance is greater than standard deviation.,1
207,2015-06-20 09:26:23+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M20,pretest,"{""pretest_1"":""44"",""pretest_2"":""Female"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""3"",""pretest_6"":""4"",""pretest_7"":""2"",""pretest_8"":""3"",""pretest_9"":""2"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""8"",""pretest_13"":""1"",""pretest_14"":"""",""pretest_15"":""1"",""pretest_16"":""1"",""pretest_17"":""1"",""pretest_18"":""i think it means the rough amount that statistical averages could be off"",""pretest_19"":""2"",""pretest_20"":""I think the variance helps to quantify the standard defiation"",""pretest_21"":""1""}",2015-06-20 09:29:15+00:00,11803,M20,43,2,44,Female,4,4,3,4,2,3,2,7,5,8,1,,1,1,1,i think it means the rough amount that statistical averages could be off,2,I think the variance helps to quantify the standard defiation,1
